	ID	cluster	start	stop	strand	family	length of spanned region	genome	contig
123	HA51_3_IS_4	IS6_292	36210	37188	+	IS6	978	HA51	HA51_3
126	HA51_3_IS_5	IS1182_100	108012	109594	+	IS1182	1582	HA51	HA51_3
129	HA51_3_IS_6	IS5_222	113077	115043	+	IS5	1966	HA51	HA51_3
132	HA51_3_IS_7	IS6_303	142751	144228	+	IS6	1477	HA51	HA51_3
135	HA51_3_IS_8	ISNCY_86	200949	203002		ISNCY	2053	HA51	HA51_3
138	HA51_3_IS_9	IS30_173	202985	204205	+	IS30	1220	HA51	HA51_3
141	HA51_3_IS_10	IS256_195	256206	258807	+	IS256	2601	HA51	HA51_3
144	HA51_3_IS_11	ISNCY_86	261887	263940		ISNCY	2053	HA51	HA51_3
147	HA51_4_IS_1	IS256_128	20	2167		IS256	2147	HA51	HA51_4
150	HA51_4_IS_2	IS630_247	26462	27518	+	IS630	1056	HA51	HA51_4
153	HA51_4_IS_3	IS1182_71	27831	30767	-	IS1182	2936	HA51	HA51_4
156	HA51_4_IS_4	IS5_222	33038	34950	+	IS5	1912	HA51	HA51_4
157	HA51_4_IS_5	IS5_222	42490	44729		IS5	2239	HA51	HA51_4
160	HA51_4_IS_6	IS4_169	50748	52433	+	IS4	1685	HA51	HA51_4
163	HA51_4_IS_7	IS1182_100	95044	98602	-	IS1182	3558	HA51	HA51_4
166	HA51_4_IS_8	IS110_208	150248	152141	+	IS110	1893	HA51	HA51_4
169	HA51_4_IS_9	IS630_247	153909	154965	-	IS630	1056	HA51	HA51_4
172	HA51_4_IS_10	IS91_83	167472	169621	-	IS91	2149	HA51	HA51_4
175	HA51_4_IS_11	IS66_46	170179	172544	+	IS66	2365	HA51	HA51_4
178	HA51_4_IS_12	IS256_128	202967	204501		IS256	1534	HA51	HA51_4
181	HA51_4_IS_13	IS5_108	204251	206090	+	IS5	1839	HA51	HA51_4
184	HA51_4_IS_14	IS256_128	222149	224325		IS256	2176	HA51	HA51_4
187	HA51_5_IS_1	IS3_506	28	2812	+	IS3	2784	HA51	HA51_5
190	HA51_5_IS_2	IS256_128	42895	44405	+	IS256	1510	HA51	HA51_5
193	HA51_5_IS_3	IS6_303	94149	94956	-	IS6	807	HA51	HA51_5
196	HA51_5_IS_4	IS5_222	94981	96070	+	IS5	1089	HA51	HA51_5
199	HA51_5_IS_5	IS3_506	99607	102393	+	IS3	2786	HA51	HA51_5
202	HA51_6_IS_1	IS6_292	19328	21921	-	IS6	2593	HA51	HA51_6
205	HA51_6_IS_2	IS1182_71	31984	33671	+	IS1182	1687	HA51	HA51_6
208	HA51_6_IS_3	IS630_193	35196	36340	-	IS630	1144	HA51	HA51_6
211	HA51_6_IS_4	IS256_128	36592	39485	+	IS256	2893	HA51	HA51_6
214	HA51_6_IS_5	IS630_247	39786	41495	+	IS630	1709	HA51	HA51_6
217	HA51_7_IS_1	IS6_303	6446	7253	-	IS6	807	HA51	HA51_7
220	HA51_7_IS_2	IS630_247	6855	8891	+	IS630	2036	HA51	HA51_7
223	HA51_7_IS_3	IS5_302	10300	11132	+	IS5	832	HA51	HA51_7
226	HA51_7_IS_4	IS5_302	18472	19306		IS5	834	HA51	HA51_7
229	HA51_8_IS_1	IS6_292	25056	25879	+	IS6	823	HA51	HA51_8
232	HA51_8_IS_2	IS256_128	35287	38186	-	IS256	2899	HA51	HA51_8
235	HA51_9_IS_1	IS110_170	21926	23826	+	IS110	1900	HA51	HA51_9
238	HA51_9_IS_2	IS3_271	35608	37928	-	IS3	2320	HA51	HA51_9
241	HA51_9_IS_3	IS630_247	43104	44170	-	IS630	1066	HA51	HA51_9
244	HA51_9_IS_4	IS256_128	62042	64921	-	IS256	2879	HA51	HA51_9
0	HA1_1_IS_1	IS256_128	689776	691143		IS256	1367	HA1	HA1_1
3	HA1_1_IS_2	IS3_204	705317	706467		IS3	1150	HA1	HA1_1
6	HA1_1_IS_3	IS6_303	714839	715680	+	IS6	841	HA1	HA1_1
9	HA1_1_IS_4	IS481_240	716782	717804	-	IS481	1022	HA1	HA1_1
12	HA1_1_IS_5	IS5_302	851462	852318		IS5	856	HA1	HA1_1
15	HA1_1_IS_6	IS3_271	1361415	1362816	+	IS3	1401	HA1	HA1_1
18	HA1_1_IS_7	IS5_302	1398539	1399393		IS5	854	HA1	HA1_1
21	HA1_1_IS_8	IS1182_100	1505513	1507045	+	IS1182	1532	HA1	HA1_1
24	HA1_1_IS_9	IS1182_100	1523991	1525531		IS1182	1540	HA1	HA1_1
27	HA1_1_IS_10	IS1182_100	1526430	1527961		IS1182	1531	HA1	HA1_1
30	HA1_1_IS_11	IS1182_100	1549419	1550959		IS1182	1540	HA1	HA1_1
33	HA1_1_IS_12	IS6_303	1559401	1560372	+	IS6	971	HA1	HA1_1
36	HA1_1_IS_13	IS1182_100	1614718	1616215	-	IS1182	1497	HA1	HA1_1
39	HA1_1_IS_14	IS1182_100	1616247	1617750	+	IS1182	1503	HA1	HA1_1
42	HA1_1_IS_15	IS1182_100	1857882	1859413		IS1182	1531	HA1	HA1_1
45	HA1_1_IS_16	IS1182_100	1892791	1894326	+	IS1182	1535	HA1	HA1_1
48	HA1_1_IS_17	IS1182_100	2229065	2230599		IS1182	1534	HA1	HA1_1
51	HA1_1_IS_18	IS1182_100	2264452	2265991		IS1182	1539	HA1	HA1_1
54	HA1_1_IS_19	IS1182_100	2408630	2410165		IS1182	1535	HA1	HA1_1
57	HA1_1_IS_20	IS1182_100	2415548	2417051		IS1182	1503	HA1	HA1_1
60	HA1_1_IS_21	IS256_128	2418730	2420094		IS256	1364	HA1	HA1_1
63	HA1_1_IS_22	IS5_302	2571218	2572185	-	IS5	967	HA1	HA1_1
66	HA1_1_IS_23	IS110_184	2765408	2767009	+	IS110	1601	HA1	HA1_1
69	HA1_1_IS_24	IS3_204	3189576	3190726		IS3	1150	HA1	HA1_1
72	HA1_1_IS_25	IS3_204	3229382	3230532		IS3	1150	HA1	HA1_1
75	HA1_1_IS_26	IS3_204	3795365	3796515	-	IS3	1150	HA1	HA1_1
78	HA1_1_IS_27	IS3_271	3897433	3898365	-	IS3	932	HA1	HA1_1
81	HA1_1_IS_28	IS1182_100	3995325	3996828		IS1182	1503	HA1	HA1_1
84	HA1_1_IS_29	IS1182_100	4009457	4010990		IS1182	1533	HA1	HA1_1
87	HA1_1_IS_30	IS1182_100	4044633	4046173		IS1182	1540	HA1	HA1_1
90	HA1_1_IS_31	IS1182_100	4085097	4086630		IS1182	1533	HA1	HA1_1
93	HA1_1_IS_32	IS1182_100	4108699	4110231	+	IS1182	1532	HA1	HA1_1
96	HA1_1_IS_33	IS110_184	4548731	4550350		IS110	1619	HA1	HA1_1
99	HA1_1_IS_34	IS1182_71	4739828	4741497	-	IS1182	1669	HA1	HA1_1
102	HA1_1_IS_35	IS1182_100	4754844	4756375		IS1182	1531	HA1	HA1_1
105	HA1_1_IS_36	IS5_302	4786055	4786911		IS5	856	HA1	HA1_1
108	HA1_1_IS_37	IS3_204	4787853	4789003		IS3	1150	HA1	HA1_1
111	HA1_1_IS_38	IS256_128	4792305	4793670	-	IS256	1365	HA1	HA1_1
114	HA1_1_IS_39	IS256_128	4863028	4864397		IS256	1369	HA1	HA1_1
117	HA1_1_IS_40	IS5_302	4877015	4877871	+	IS5	856	HA1	HA1_1
120	HA1_1_IS_41	IS481_240	4973198	4974165		IS481	967	HA1	HA1_1
123	HA1_1_IS_42	IS5_447	4976963	4978089		IS5	1126	HA1	HA1_1
124	HA1_1_IS_43	IS481_240	4978088	4979106		IS481	1018	HA1	HA1_1
127	HA1_1_IS_44	IS110_184	4986158	4987795		IS110	1637	HA1	HA1_1
130	HA1_1_IS_45	IS481_240	4989530	4990497		IS481	967	HA1	HA1_1
133	HA1_1_IS_46	IS5_447	4992885	4994011	-	IS5	1126	HA1	HA1_1
134	HA1_1_IS_47	IS481_240	4997647	4998614		IS481	967	HA1	HA1_1
137	HA1_1_IS_48	IS6_303	5005903	5006779	-	IS6	876	HA1	HA1_1
140	HA1_1_IS_49	IS6_303	5010175	5011464	-	IS6	1289	HA1	HA1_1
143	HA1_1_IS_50	IS1182_100	5018481	5020018	-	IS1182	1537	HA1	HA1_1
146	HA1_1_IS_51	IS1182_100	5031693	5033194		IS1182	1501	HA1	HA1_1
149	HA1_1_IS_52	IS3_239|IS3||protein:plasmid:133558	5035861	5038215	-	IS3	2354	HA1	HA1_1
152	HA1_1_IS_53	IS110_208	5043456	5044515	+	IS110	1059	HA1	HA1_1
155	HA1_1_IS_54	IS6_303	5044373	5045901	-	IS6	1528	HA1	HA1_1
158	HA1_1_IS_55	IS110_208	5068694	5070064	-	IS110	1370	HA1	HA1_1
161	HA1_1_IS_56	IS21_67	5078193	5080595	+	IS21	2402	HA1	HA1_1
164	HA1_1_IS_57	IS1182_100	5123556	5126258	-	IS1182	2702	HA1	HA1_1
0	FO5_1_IS_1	IS1182_100	135217	136730		IS1182	1513	FO5	FO5_1
3	FO5_1_IS_2	IS5_222	852970	854059		IS5	1089	FO5	FO5_1
6	FO5_1_IS_3	IS1182_100	891669	893183	+	IS1182	1514	FO5	FO5_1
9	FO5_1_IS_4	IS5_222	1385531	1386622		IS5	1091	FO5	FO5_1
12	FO5_1_IS_5	IS5_222	2126663	2127753	-	IS5	1090	FO5	FO5_1
15	FO5_2_IS_1	IS6_303	334895	335630		IS6	735	FO5	FO5_2
16	FO5_2_IS_2	IS110_208	400923	402262	+	IS110	1339	FO5	FO5_2
19	FO5_2_IS_3	IS481_240	408391	409376	+	IS481	985	FO5	FO5_2
22	FO5_2_IS_4	IS6_303	409933	410717	+	IS6	784	FO5	FO5_2
25	FO5_2_IS_5	IS6_303	447404	448191		IS6	787	FO5	FO5_2
28	FO5_2_IS_6	IS3_204	475400	476055	+	IS3	655	FO5	FO5_2
31	FO5_2_IS_7	IS6_303	488241	488986	-	IS6	745	FO5	FO5_2
32	FO5_2_IS_8	IS3_204	705172	706439	-	IS3	1267	FO5	FO5_2
35	FO5_2_IS_9	IS3_176	708006	709230	+	IS3	1224	FO5	FO5_2
38	FO5_2_IS_10	IS66_46	759163	760724	+	IS66	1561	FO5	FO5_2
41	FO5_3_IS_1	IS5_222	1	8829	+	IS5	8828	FO5	FO5_3
42	FO5_3_IS_2	IS5_222	32077	37945	-	IS5	5868	FO5	FO5_3
45	FO5_3_IS_3	IS3_176	50758	51982	-	IS3	1224	FO5	FO5_3
48	FO5_3_IS_4	IS5_222	70848	79672	+	IS5	8824	FO5	FO5_3
49	FO5_3_IS_5	IS5_222	102903	108760		IS5	5857	FO5	FO5_3
52	FO5_4_IS_1	IS3_176	51847	53071	-	IS3	1224	FO5	FO5_4
55	FO5_4_IS_2	IS6_292	56023	56840	-	IS6	817	FO5	FO5_4
58	FO5_4_IS_3	IS3_168	91050	92280	+	IS3	1230	FO5	FO5_4
0	GNM003443535_1_IS_1	IS6_303	472973	474523	+	IS6	1550	GNM003443535	GNM003443535_1
3	GNM003443535_1_IS_2	IS6_303	481360	482630	+	IS6	1270	GNM003443535	GNM003443535_1
6	GNM003443535_1_IS_3	IS6_303	503264	504081	+	IS6	817	GNM003443535	GNM003443535_1
9	GNM003443535_1_IS_4	IS6_303	2317681	2318449	-	IS6	768	GNM003443535	GNM003443535_1
12	GNM003443535_1_IS_5	IS5_302	2667921	2668781	+	IS5	860	GNM003443535	GNM003443535_1
0	GNM3532_1_IS_1	IS5_302	97874	98729	+	IS5	855	GNM3532	GNM3532_1
3	GNM3532_1_IS_2	IS5_222	108321	109371	+	IS5	1050	GNM3532	GNM3532_1
6	GNM3532_1_IS_3	IS1595_235	304031	305310	+	IS1595	1279	GNM3532	GNM3532_1
9	GNM3532_1_IS_4	IS3_168	587182	588484	+	IS3	1302	GNM3532	GNM3532_1
12	GNM3532_1_IS_5	IS21_259	1040674	1043104		IS21	2430	GNM3532	GNM3532_1
15	GNM3532_1_IS_6	IS110_208	1142253	1143598	+	IS110	1345	GNM3532	GNM3532_1
18	GNM3532_1_IS_7	IS5_302	1431249	1432105	-	IS5	856	GNM3532	GNM3532_1
21	GNM3532_1_IS_8	IS21_67	1443019	1445418		IS21	2399	GNM3532	GNM3532_1
24	GNM3532_1_IS_9	IS5_302	2247749	2248602	+	IS5	853	GNM3532	GNM3532_1
27	GNM3532_1_IS_10	IS5_302	2375168	2376022	+	IS5	854	GNM3532	GNM3532_1
30	GNM3532_1_IS_11	IS5_302	2629479	2630332	-	IS5	853	GNM3532	GNM3532_1
33	GNM3532_1_IS_12	IS21_67	2631042	2633442	-	IS21	2400	GNM3532	GNM3532_1
36	GNM3532_1_IS_13	IS5_302	2661692	2662547	+	IS5	855	GNM3532	GNM3532_1
39	GNM3532_1_IS_14	IS5_222	2742479	2743529	-	IS5	1050	GNM3532	GNM3532_1
42	GNM3532_1_IS_15	IS5_447	2824534	2825368	+	IS5	834	GNM3532	GNM3532_1
45	GNM3532_1_IS_16	IS110_208	3033379	3034716	+	IS110	1337	GNM3532	GNM3532_1
48	GNM3532_1_IS_17	IS21_67	3350227	3352626		IS21	2399	GNM3532	GNM3532_1
51	GNM3532_1_IS_18	IS21_259	3357326	3359759	+	IS21	2433	GNM3532	GNM3532_1
54	GNM3532_1_IS_19	IS5_447	3413285	3414119	-	IS5	834	GNM3532	GNM3532_1
57	GNM3532_1_IS_20	IS5_447	3485444	3486278	-	IS5	834	GNM3532	GNM3532_1
60	GNM3532_1_IS_21	IS5_279	4236191	4237026	+	IS5	835	GNM3532	GNM3532_1
63	GNM3532_2_IS_1	IS5_447	26876	27708	-	IS5	832	GNM3532	GNM3532_2
66	GNM3532_2_IS_2	IS6_292	150585	151399	+	IS6	814	GNM3532	GNM3532_2
69	GNM3532_2_IS_3	IS6_292	156574	157392	-	IS6	818	GNM3532	GNM3532_2
72	GNM3532_2_IS_4	IS6_292	168424	169238	-	IS6	814	GNM3532	GNM3532_2
75	GNM3532_2_IS_5	IS5_447	230029	230861	+	IS5	832	GNM3532	GNM3532_2
78	GNM3532_2_IS_6	IS6_292	256788	257602	-	IS6	814	GNM3532	GNM3532_2
81	GNM3532_2_IS_7	IS6_292	330997	331822	+	IS6	825	GNM3532	GNM3532_2
84	GNM3532_2_IS_8	IS21_259	353922	356349	-	IS21	2427	GNM3532	GNM3532_2
87	GNM3532_2_IS_9	IS21_259	357682	360111		IS21	2429	GNM3532	GNM3532_2
90	GNM3532_2_IS_10	IS3_465	369300	370057	-	IS3	757	GNM3532	GNM3532_2
93	GNM3532_2_IS_11	IS5_447	398197	399029	-	IS5	832	GNM3532	GNM3532_2
96	GNM3532_2_IS_12	IS110_208	496847	498500	+	IS110	1653	GNM3532	GNM3532_2
99	GNM3532_3_IS_1	IS110_208	8531	15725	-	IS110	7194	GNM3532	GNM3532_3
102	GNM3532_3_IS_2	IS256_92	18323	19738	-	IS256	1415	GNM3532	GNM3532_3
105	GNM3532_3_IS_3	IS110_208	211709	213049	+	IS110	1340	GNM3532	GNM3532_3
108	GNM3532_3_IS_4	IS6_292	220035	220859	-	IS6	824	GNM3532	GNM3532_3
111	GNM3532_3_IS_5	IS3_168	221173	222468	+	IS3	1295	GNM3532	GNM3532_3
114	GNM3532_3_IS_6	IS6_292	233131	233956	-	IS6	825	GNM3532	GNM3532_3
117	GNM3532_3_IS_7	IS3_168	238325	239620	-	IS3	1295	GNM3532	GNM3532_3
120	GNM3532_3_IS_8	IS6_292	241265	242089	+	IS6	824	GNM3532	GNM3532_3
123	GNM3532_3_IS_9	IS3_168	253411	254706	+	IS3	1295	GNM3532	GNM3532_3
126	GNM3532_3_IS_10	IS5_447	256806	257641	-	IS5	835	GNM3532	GNM3532_3
129	GNM3532_3_IS_11	IS6_292	290956	291773		IS6	817	GNM3532	GNM3532_3
132	GNM3532_3_IS_12	IS6_292	298795	299627	-	IS6	832	GNM3532	GNM3532_3
135	GNM3532_3_IS_13	IS5_447	323884	324716		IS5	832	GNM3532	GNM3532_3
138	GNM3532_3_IS_14	IS5_447	377730	378562		IS5	832	GNM3532	GNM3532_3
141	GNM3532_3_IS_15	IS6_292	378658	379476	-	IS6	818	GNM3532	GNM3532_3
144	GNM3532_3_IS_16	IS91_83	425810	427436	-	IS91	1626	GNM3532	GNM3532_3
147	GNM3532_3_IS_17	IS110_208	435120	442300		IS110	7180	GNM3532	GNM3532_3
0	FI4_1_IS_1	IS110_142	59774	61282	+	IS110	1508	FI4	FI4_1
3	FI4_1_IS_2	IS5_279	190350	191189	+	IS5	839	FI4	FI4_1
6	FI4_1_IS_3	IS21_38	207519	210008		IS21	2489	FI4	FI4_1
9	FI4_1_IS_4	IS1182_100	523288	524815		IS1182	1527	FI4	FI4_1
12	FI4_1_IS_5	IS3_168	526027	527120	-	IS3	1093	FI4	FI4_1
15	FI4_1_IS_6	IS1182_71	545560	547248	-	IS1182	1688	FI4	FI4_1
18	FI4_1_IS_7	IS21_38	591786	594277		IS21	2491	FI4	FI4_1
21	FI4_1_IS_8	IS110_113	711766	713838	+	IS110	2072	FI4	FI4_1
24	FI4_1_IS_9	IS6_303	716739	717545		IS6	806	FI4	FI4_1
27	FI4_1_IS_10	IS21_38	953004	955492		IS21	2488	FI4	FI4_1
30	FI4_1_IS_11	IS6_292	956648	957467	-	IS6	819	FI4	FI4_1
33	FI4_1_IS_12	IS6_303	965825	966639	+	IS6	814	FI4	FI4_1
36	FI4_1_IS_13	IS21_38	970262	972753	-	IS21	2491	FI4	FI4_1
39	FI4_1_IS_14	IS6_303	1162729	1163536	-	IS6	807	FI4	FI4_1
42	FI4_1_IS_15	IS110_208	1384254	1385597		IS110	1343	FI4	FI4_1
45	FI4_1_IS_16	IS481_240	1386099	1387119	+	IS481	1020	FI4	FI4_1
48	FI4_1_IS_17	IS21_38	1396662	1399152		IS21	2490	FI4	FI4_1
51	FI4_1_IS_18	IS1182_100	1413712	1415242		IS1182	1530	FI4	FI4_1
54	FI4_1_IS_19	IS5_302	1874887	1875837	-	IS5	950	FI4	FI4_1
57	FI4_1_IS_20	IS21_38	1904659	1907150		IS21	2491	FI4	FI4_1
60	FI4_1_IS_21	IS1380_105	1913890	1915484	+	IS1380	1594	FI4	FI4_1
63	FI4_1_IS_22	IS110_208	1950588	1951933	-	IS110	1345	FI4	FI4_1
66	FI4_1_IS_23	IS5_222	1959926	1960981	+	IS5	1055	FI4	FI4_1
69	FI4_1_IS_24	IS1182_100	2532799	2534329	+	IS1182	1530	FI4	FI4_1
72	FI4_1_IS_25	IS6_303	2765527	2766343		IS6	816	FI4	FI4_1
75	FI4_1_IS_26	IS1182_71	2824171	2825860	+	IS1182	1689	FI4	FI4_1
78	FI4_1_IS_27	IS3_239|IS3||protein:plasmid:133558	2992300	2993218	-	IS3	918	FI4	FI4_1
81	FI4_1_IS_28	IS6_303	3176064	3176881	-	IS6	817	FI4	FI4_1
84	FI4_1_IS_29	IS6_303	3184038	3185139	-	IS6	1101	FI4	FI4_1
87	FI4_1_IS_30	IS6_303	3184906	3186118	+	IS6	1212	FI4	FI4_1
90	FI4_1_IS_31	IS6_303	3188484	3189299		IS6	815	FI4	FI4_1
93	FI4_1_IS_32	IS6_303	3195526	3196357	-	IS6	831	FI4	FI4_1
96	FI4_1_IS_33	IS21_38	3199427	3201917		IS21	2490	FI4	FI4_1
99	FI4_1_IS_34	IS1182_100	3481278	3482808		IS1182	1530	FI4	FI4_1
102	FI4_1_IS_35	IS1182_100	3518022	3519551		IS1182	1529	FI4	FI4_1
105	FI4_1_IS_36	IS3_239|IS3||protein:plasmid:133558	3524892	3525664	+	IS3	772	FI4	FI4_1
108	FI4_1_IS_37	IS21_38	3525737	3528223		IS21	2486	FI4	FI4_1
111	FI4_2_IS_1	IS5_222	120268	121344		IS5	1076	FI4	FI4_2
114	FI4_2_IS_2	IS5_222	151590	152667	-	IS5	1077	FI4	FI4_2
117	FI4_2_IS_3	IS6_303	157850	158661	+	IS6	811	FI4	FI4_2
120	FI4_2_IS_4	IS6_303	173520	174329		IS6	809	FI4	FI4_2
123	FI4_2_IS_5	IS6_303	175974	176785	-	IS6	811	FI4	FI4_2
126	FI4_2_IS_6	IS6_303	183085	183890	-	IS6	805	FI4	FI4_2
129	FI4_2_IS_7	IS6_303	184478	185287		IS6	809	FI4	FI4_2
132	FI4_2_IS_8	IS1182_100	389214	390744	+	IS1182	1530	FI4	FI4_2
135	FI4_2_IS_9	IS6_292	482685	483965	+	IS6	1280	FI4	FI4_2
138	FI4_2_IS_10	IS5_222	483704	484781		IS5	1077	FI4	FI4_2
141	FI4_2_IS_11	IS5_222	487127	488203		IS5	1076	FI4	FI4_2
0	GJ9_1_IS_1	IS6_303	1867184	1868013	-	IS6	829	GJ9	GJ9_1
3	GJ9_1_IS_2	IS6_303	1878604	1879421		IS6	817	GJ9	GJ9_1
6	GJ9_1_IS_3	IS6_303	1898374	1899316	-	IS6	942	GJ9	GJ9_1
0	FK4_1_IS_1	IS110_208	339222	340567	+	IS110	1345	FK4	FK4_1
3	FK4_1_IS_2	IS1182_100	340702	342231		IS1182	1529	FK4	FK4_1
6	FK4_1_IS_3	IS3_239|IS3||protein:plasmid:133558	379812	381320		IS3	1508	FK4	FK4_1
9	FK4_1_IS_4	IS3_239|IS3||protein:plasmid:133558	412074	413581		IS3	1507	FK4	FK4_1
12	FK4_1_IS_5	IS5_302	467954	469172	+	IS5	1218	FK4	FK4_1
15	FK4_1_IS_6	IS1182_100	525440	526945	+	IS1182	1505	FK4	FK4_1
18	FK4_1_IS_7	IS3_271	913490	914705	-	IS3	1215	FK4	FK4_1
21	FK4_1_IS_8	IS110_208	1150203	1151548		IS110	1345	FK4	FK4_1
24	FK4_1_IS_9	IS110_208	1160777	1162121	+	IS110	1344	FK4	FK4_1
27	FK4_1_IS_10	IS6_292	1162387	1163210	+	IS6	823	FK4	FK4_1
30	FK4_1_IS_11	IS5_222	1163192	1164949	+	IS5	1757	FK4	FK4_1
33	FK4_1_IS_12	IS6_292	1164565	1165592	+	IS6	1027	FK4	FK4_1
36	FK4_1_IS_13	IS5_222	1180187	1181253	-	IS5	1066	FK4	FK4_1
39	FK4_1_IS_14	IS3_239|IS3||protein:plasmid:133558	1581938	1583446	+	IS3	1508	FK4	FK4_1
42	FK4_1_IS_15	IS3_168	1595314	1596674	-	IS3	1360	FK4	FK4_1
45	FK4_1_IS_16	IS3_465	1807533	1808549	-	IS3	1016	FK4	FK4_1
48	FK4_1_IS_17	IS3_271	1827169	1828384	-	IS3	1215	FK4	FK4_1
51	FK4_1_IS_18	IS1182_100	2152275	2153805	-	IS1182	1530	FK4	FK4_1
54	FK4_1_IS_19	IS3_239|IS3||protein:plasmid:133558	2155303	2156812		IS3	1509	FK4	FK4_1
57	FK4_1_IS_20	IS3_239|IS3||protein:plasmid:133558	2195838	2197344		IS3	1506	FK4	FK4_1
60	FK4_1_IS_21	IS3_239|IS3||protein:plasmid:133558	2364286	2365790		IS3	1504	FK4	FK4_1
63	FK4_1_IS_22	IS1182_100	2641899	2643429	+	IS1182	1530	FK4	FK4_1
66	FK4_1_IS_23	IS6_303	2671798	2672615	+	IS6	817	FK4	FK4_1
69	FK4_2_IS_1	IS3_239|IS3||protein:plasmid:133558	421024	422528	-	IS3	1504	FK4	FK4_2
72	FK4_2_IS_2	IS1182_100	425249	426779	+	IS1182	1530	FK4	FK4_2
75	FK4_2_IS_3	IS6_303	456607	457422	-	IS6	815	FK4	FK4_2
78	FK4_2_IS_4	IS5_222	460395	461472	-	IS5	1077	FK4	FK4_2
81	FK4_2_IS_5	IS5_222	466383	467460	+	IS5	1077	FK4	FK4_2
84	FK4_2_IS_6	IS6_292	477857	478682	+	IS6	825	FK4	FK4_2
0	FI1_1_IS_1	IS3_176	65649	66872		IS3	1223	FI1	FI1_1
3	FI1_1_IS_2	IS21_67	517386	519881	+	IS21	2495	FI1	FI1_1
6	FI1_1_IS_3	IS3_239|IS3||protein:plasmid:133558	554405	555914	-	IS3	1509	FI1	FI1_1
9	FI1_1_IS_4	IS3_239|IS3||protein:plasmid:133558	762983	764489		IS3	1506	FI1	FI1_1
12	FI1_1_IS_5	IS110_208	840223	841741	-	IS110	1518	FI1	FI1_1
15	FI1_1_IS_6	IS110_208	853293	854801		IS110	1508	FI1	FI1_1
18	FI1_1_IS_7	IS3_176	998343	999596	+	IS3	1253	FI1	FI1_1
21	FI1_1_IS_8	IS3_176	1001666	1002889		IS3	1223	FI1	FI1_1
24	FI1_1_IS_9	IS3_176	1004283	1005695	+	IS3	1412	FI1	FI1_1
27	FI1_1_IS_10	IS630_247	1012310	1013443	+	IS630	1133	FI1	FI1_1
30	FI1_1_IS_11	IS21_67	1166162	1168658		IS21	2496	FI1	FI1_1
33	FI1_1_IS_12	IS3_176	1170760	1172014	+	IS3	1254	FI1	FI1_1
36	FI1_1_IS_13	IS3_239|IS3||protein:plasmid:133558	1174185	1175692		IS3	1507	FI1	FI1_1
39	FI1_1_IS_14	IS3_176	1546399	1547623	+	IS3	1224	FI1	FI1_1
42	FI1_1_IS_15	IS3_239|IS3||protein:plasmid:133558	1561676	1563185	-	IS3	1509	FI1	FI1_1
45	FI1_1_IS_16	IS3_239|IS3||protein:plasmid:133558	1683704	1685208		IS3	1504	FI1	FI1_1
48	FI1_1_IS_17	IS3_176	1700872	1702096	+	IS3	1224	FI1	FI1_1
51	FI1_1_IS_18	IS3_239|IS3||protein:plasmid:133558	1704835	1706344	+	IS3	1509	FI1	FI1_1
54	FI1_1_IS_19	IS3_239|IS3||protein:plasmid:133558	1711967	1713476		IS3	1509	FI1	FI1_1
57	FI1_1_IS_20	IS3_176	1756512	1757766	-	IS3	1254	FI1	FI1_1
60	FI1_1_IS_21	IS3_176	1793668	1794940	+	IS3	1272	FI1	FI1_1
63	FI1_1_IS_22	IS21_67	1797821	1800312		IS21	2491	FI1	FI1_1
66	FI1_1_IS_23	IS3_239|IS3||protein:plasmid:133558	2866215	2867721		IS3	1506	FI1	FI1_1
69	FI1_2_IS_1	IS3_176	198701	199928	+	IS3	1227	FI1	FI1_2
72	FI1_2_IS_2	IS21_67	498889	501380		IS21	2491	FI1	FI1_2
75	FI1_2_IS_3	IS6_292	501436	502260		IS6	824	FI1	FI1_2
78	FI1_2_IS_4	IS110_184	515711	516955	+	IS110	1244	FI1	FI1_2
81	FI1_2_IS_5	IS5_222	520189	521638	-	IS5	1449	FI1	FI1_2
84	FI1_2_IS_6	IS21_67	523188	525682	-	IS21	2494	FI1	FI1_2
87	FI1_2_IS_7	IS5_222	543151	544230	-	IS5	1079	FI1	FI1_2
90	FI1_2_IS_8	IS6_292	551051	551875	-	IS6	824	FI1	FI1_2
93	FI1_2_IS_9	IS6_292	552792	553616	+	IS6	824	FI1	FI1_2
96	FI1_2_IS_10	IS6_303	559819	560627	+	IS6	808	FI1	FI1_2
99	FI1_2_IS_11	IS6_292	570848	571672	+	IS6	824	FI1	FI1_2
102	FI1_2_IS_12	IS6_303	596526	597337	-	IS6	811	FI1	FI1_2
105	FI1_2_IS_13	IS6_303	600224	601035		IS6	811	FI1	FI1_2
108	FI1_3_IS_1	IS6_292	21518	22336	-	IS6	818	FI1	FI1_3
111	FI1_3_IS_2	IS110_208	32771	38320	-	IS110	5549	FI1	FI1_3
114	FI1_3_IS_3	IS110_184	121574	123620	-	IS110	2046	FI1	FI1_3
117	FI1_3_IS_4	IS5_279	130815	131650	-	IS5	835	FI1	FI1_3
120	FI1_3_IS_5	IS6_292	145502	146320	-	IS6	818	FI1	FI1_3
123	FI1_3_IS_6	IS110_184	148118	150164		IS110	2046	FI1	FI1_3
126	FI1_3_IS_7	IS6_303	150177	150985	+	IS6	808	FI1	FI1_3
129	FI1_3_IS_8	IS6_303	174123	174930		IS6	807	FI1	FI1_3
